Grupo,Bem,Valor (R$),Parcela (R$)
10523,A855 - KWID ZEN 27%,21543.3,465.02
10523,A857 - KWID ZEN 31%,24734.9,533.91
10523,A860 - 35% MOBI LIKE 1.0,27646.5,596.75
10523,A853 - 36% MOBI LIKE 1.0,28436.4,613.83
10523,A856 - KWID ZEN 42%,33311.3,723.38
10523,A845 - 44% MOBI LIKE 1.0,35315.6,750.23
10523,A678 - KWID ZEN 44%,35107.6,757.82
10523,A844 - 47% MOBI LIKE 1.0,37125.3,801.37
10715,A841 - 75% MOBI LIKE 1.0,59242.5,835.58
10715,A838 - 80% MOBI LIKE 1.0,63192.0,891.31
10715,A673 - KWID ZEN 80%,63832.0,900.33
10715,A674 - KWID ZEN 90%,71811.0,1012.85
10715,A681 - KWID ZEN 95%,75800.0,1069.11
10715,A816 - 70% - NV SAVEIRO ROBUST SC,76055.0,1072.73
10715,A865 - STRADA ENDURANCE (70%),78393.0,1105.71
10715,A640 - MOBI LIKE 1.0 FLEX 4P,78990.0,1114.1
10715,A641 - KWID ZEN,79790.0,1125.42
10872,A841 - 75% MOBI LIKE 1.0,59242.5,1592.8
10872,A838 - 80% MOBI LIKE 1.0,63192.0,1699.0
