Grupo,Assembleia,% Lance
010745,17,46.6599
010745,17,43.0
010745,17,40.1791
010745,17,40.0
010745,17,40.0
010745,17,35.01
010745,17,35.0
010745,17,32.3274
010745,17,31.0
010745,17,30.0
010745,17,30.0
010745,17,28.5847
010745,17,28.4414
010745,16,44.4247
010745,16,42.4402
010745,16,42.0961
010745,16,41.3507
010745,16,39.3166
010745,16,35.5951
010745,16,35.0
010745,16,34.3294
010745,16,33.625
010745,15,46.6197
010745,15,44.1117
010745,15,42.0342
010745,15,35.0
010745,15,31.52
010745,15,31.0547
010745,15,30.0
010745,14,48.2902
010745,14,47.0765
010745,14,46.0
010745,14,45.0
010745,14,42.3044
010745,14,41.0
010745,14,38.2672
010745,14,36.4196
010745,14,35.7666
010745,14,35.0
010745,13,44.0
010745,13,39.2768
010745,13,39.2768
010745,13,38.2222
010745,13,37.1553
010745,13,35.203
010745,13,35.0
010745,12,46.1133
010745,12,44.7614
010745,12,43.2089
010745,12,43.0
010745,12,43.0
010745,12,37.4918
010745,12,34.0386
